Certificat de Professionalitat;Descripció ;Hores;NivellEspecialitat;FamProfDescCat;Competències;Descripció de la competència;Durada 
ELEE0510;Gestió i supervisió del muntatge i manteniment de xarxes elèctriques subterrànies d'alta tensió de segona i tercera categoria i centres de transformació d'interior;640,;3;ELECTRICITAT I ELECTRÒNICA;UC1191_3;Gestionar i organitzar el muntatge i manteniment de les xarxes eléctriques subterrànies d'alta tensió de segona i tercera categoria, i centres de transformació d'interior;150,
SANT0036;Atenció sanitària no presencial a usuaris i famílies;12,;2;SANITAT;;;0,
EOCB0020;PRL per a treballs de revestiments exteriors.;20,;1;EDIFICACIÓ I OBRA CIVIL;;;0,
SSCI0212;Activitats funeràries i de manteniment en cementiris;250,;1;SERVEIS SOCIOCULTURALS I A LA COMUNITAT;UC2007_1;Realitzar tasques de neteja de cementeris;50,
SEAD0154;C.24. Recuperació i reciclatge de matèries primeres secundàries metàl·liques. Formació de reciclatge;4,;1;SEGURETAT I MEDI AMBIENT;;;0,
IFCT0310;Administració de bases de dades;650,;3;INFORMÀTICA I COMUNICACIONS;noUC_MP0313;Mòdul de pràctiques professionals no laborals d''Administració de bases de dades';80,
COMT0111;Gestió comercial immobiliària;580,;3;COMERÇ I MARQUETING;UC0811_2;Realitzar la venda i difusió de productes immobiliaris a través de diferents canals de comercialització;130,
TMVL0109;Operacions auxiliars de manteniment de carrosseria de vehicles;310,;1;TRANSPORT I MANTENIMENT DE VEHICLES;UC0621_1;Desmuntar, muntar i substituir elements amovibles simples del vehicle;90,
ENAE0005;Energia solar fotovoltaica d'autoconsum. Nivell II;30,;2;ENERGIA I AIGUA;;;0,
FMEC0309;Disseny en la indústria naval;640,;3;FABRICACIÓ MECÀNICA;UC0813_3;Dissenyar les maniobres en construcció i reparació naval;110,
FMEC0108;Fabricació i muntatge d'instal·lacions de canonada industrial;530,;2;FABRICACIÓ MECÀNICA;UC1143_2;Conformar i armar canonades;160,
VICI0110;Decoració i modelatge de vidre;480,;1;VIDRE I CERÀMICA;UC0146_1;Elaborar productes de vidre mitjançant termoformació i fusió;90,
ENAC0108;Eficiència energètica d'edificis;920,;3;ENERGIA I AIGUA;UC1194_3;Avaluar l'eficiència energètica de les instal·lacions d'edificis;300,
QUIM0110;Organització i control de la fabricació de productes farmacèutics i afins;660,;3;QUÍMICA;UC0335_3;Verificar la conformitat de materials, equips, instal·lacions i condicions de procés;120,
IMPP0308;Hidrotermal;570,;3;IMATGE PERSONAL;UC1260_3;Protocolitzar i organitzar els serveis hidrotermals i complementaris;120,
IFCM0410;Gestió i supervisió d'alarmes en xarxes de comunicacions;680,;3;INFORMÀTICA I COMUNICACIONS;UC1218_3;Gestionar la qualitat dels serveis suportats sobre la xarxa de comunicacions;120,
FMEH0409;Mecanització per abrasió, electroerosió i procediments especials;620,;2;FABRICACIÓ MECÀNICA;UC0093_2;Preparar màquines i sistemes per procedir a la mecanització per abrasió, electroerosió i procediments especials;260,
MAMR0108;Muntatge de mobles i elements de fusteria;460,;2;FUSTA, MOBLE I SURO;UC0172_2;Muntar mobles i elements de fusteria.;240,
TCPP0110;Operacions auxiliars de processos tèxtils;300,;1;TÈXTIL, CONFECCIÓ I PELL;UC0431_1;Seleccionar materials i productes per als processos tèxtils;60,
IMAR19;Fabricació de conductes per a la conducció de fluids en instal·lacions de climatització;90,;2;INSTAL·LACIÓ I MANTENIMENT;noUC_imar19;;10,
TMVG11;Sistemes ADAS per als Vehicles;175,;5;TRANSPORT I MANTENIMENT DE VEHICLES;noUC_tmvg11;;25,
IMSV0043;Flux de treball en sèries de ficció de televisió;60,;2;IMATGE I SO;;;0,
COMM17;Gestió logística i e-Commerce Management per a Marketplaces;250,;3;COMERÇ I MARQUETING;;;0,
HOTR0067;Gestió del bar-cafeteria;60,;1;HOSTALERIA I TURISME;noUC_hotr0067;-;30,
AGAJ01;Procediments bàsics en serveis de jardineria;125,;1;AGRÀRIA;noUC_agaj01;;15,
AGAN0212;Realització de procediments experimentals amb animals per a la investigació i altres finalitats científiques;750,;3;AGRÀRIA;UC1738_3;Realitzar tècniques de reproducció en animals utilitzats en procediments experimentals;110,
MAMS0108;Instal·lació d'elements de fusteria;500,;2;FUSTA, MOBLE I SURO;UC0883_2;Prendre dades i efectuar càlculs per a la instal·lació d'elements de fusteria.;120,
IFCT0510;Gestió de sistemes informàtics;500,;3;INFORMÀTICA I COMUNICACIONS;UC0486_3;Assegurar equips informàtics;90,
HOTA0208;Gestió de pisos i neteja en allotjaments;480,;3;HOSTALERIA I TURISME;UC1068_3;Supervisar els processos del departament de pisos;150,
AGAN0511;Gestió de la producció d'animals cinegètics;570,;3;AGRÀRIA;UC0536_3;Gestionar les instal·lacions, maquinària, material i equips de l'explotació ramadera;120,
SEAD0412;Ensinistrament de base i educació canina;380,;2;SEGURETAT I MEDI AMBIENT;noUC_MP0568;Mòdul de pràctiques professionals no laborals de 'Ensinistrament de base i educació canina';40,
SANP0008;Gestió d'al·lergògens al sector de la restauració;50,;1;SANITAT;noUC_sanp0008;-;50,
TMVI24;Mercaderies Perilloses. Formació Bàsica Comú (Formació Complementària CAP Mercaderies);24,;1;TRANSPORT I MANTENIMENT DE VEHICLES;;;0,
ELES0208;Operacions auxiliars de muntatge d'instal·lacions electrotècniques i de telecomunicacions en edificis;380,;1;ELECTRICITAT I ELECTRÒNICA;UC0817_1;Realitzar operacions de muntatge d'instal·lacions de telecomunicacions;180,
